Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,publico
137,Força bruta,Paris,Coréia do Sul,11/24/2022,331,251,2,17.058
138,Pureza,DT/Paris,Brasil,5/19/2022,144,117,24,16.929
139,Coração ardente,Kolbe Arte Produções,Espanha,3/10/2022,52,51,16,16.871
140,Meu amigãozão - O filme,O2 Play,Brasil,5/12/2022,145,127,32,16.845
141,"Tesouro do pequeno Nicolau, O",California,França,12/22/2022,94,83,2,16.489
142,"Felicidade das pequenas coisas, A",Pandora Filmes,Butão,1/27/2022,3,3,49,16.389
143,Sra. Harris vai a Paris,Universal,Reino Unido,11/24/2022,99,77,6,16.300
144,Amigo secreto,Vitrine Filmes,Brasil,6/16/2022,47,43,27,15.275
145,Tarsilinha,H2O Films,Brasil,3/17/2022,105,87,31,14.363
146,Quatro amigas numa fria,Disney,Brasil,5/19/2022,213,174,6,14.243
147,Luta pela fé - A história do padre Stu,Sony,EUA,5/26/2022,241,191,4,14.000
148,Benedetta,Imovision,França,1/13/2022,37,32,14,13.048
149,Com amor e fúria,Synapse,França,11/3/2022,30,27,9,12.895
150,Vivo - Quem está aí?,Distribuição Própria,Espanha,6/14/2022,103,76,20,12.164
151,Ela disse,Universal,EUA,12/8/2022,115,86,4,12.161
152,Crocodilos - A morte te espera,Playarte,Austrália,5/12/2022,119,109,2,12.120
153,Sempre em frente,Diamond/Galeria,EUA,2/17/2022,60,49,21,12.069
154,"Poderoso chefão - 50 anos, O",Paramount,EUA,9/2/2014,0,0,434,12.059
155,Armageddon time,Universal,EUA,11/10/2022,22,20,8,11.805
156,Festival Italiano 2022,Festivais,Itália,7/28/2022,8,7,18,11.719
157,Crimes of the future,O2 Play,Canadá,7/14/2022,18,18,22,11.533
158,"Viagem de Pedro, A",Vitrine Filmes,Brasil,9/1/2022,64,54,7,11.133
159,No ritmo do coração,Diamond,EUA,9/23/2021,396,342,49,11.080
160,Vale night,Disney,Brasil,3/17/2022,177,155,2,10.879
161,"Amor dá voltas, O",Imagem,Brasil,12/22/2022,169,139,2,10.525
162,Super quem?,Paris,França,10/27/2022,172,142,4,9.499
163,Ligação explosiva,Diamond/Galeria,Coréia do Sul,11/24/2022,116,94,2,8.671
164,A saga Crepúsculo: Amanhecer - Parte 2,Paris,EUA,11/16/2012,1.219,469,529,8.371
165,Chico para sempre,Film Connection,Brasil,10/13/2022,54,49,10,8.344
166,"Livro dos prazeres, O",Vitrine Filmes,Brasil,9/22/2022,30,27,12,8.325
167,Má sorte no sexo ou pornô acidental,Imovision,Romênia,6/2/2022,18,18,29,8.310
168,Na rédea curta,Elo Studios,Brasil,12/1/2022,44,41,5,8.196
169,Noites de Paris,Vitrine Filmes,França,10/20/2022,14,14,11,8.121
170,Twenty One Pilots cinema experience,Trafalgar,EUA,5/19/2022,67,57,1,7.693
171,"Suspeita, A",Imagem,Brasil,6/16/2022,112,96,4,7.477
172,Final UEFA 2022,Distribuição Própria,Brasil,5/28/2022,65,60,1,7.313
