Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,Semana
270,Acqua movie,Imovision,Brasil,6/10/2021,7,7,4,319
271,Pedro e Inês,Pandora Filmes,Portugal,7/8/2021,4,4,14,313
272,Ana. Sem Título,Imovision,Brasil,7/29/2021,10,10,2,312
273,"Vez em Veneza, Uma",Zapata Filmes,Itália,11/11/2021,1,1,8,312
274,Quando Hitler roubou o coelho cor-de-rosa,A2 Filmes,Alemanha,2/18/2021,0,0,0,311
275,Por que você não chora?,O2 Play,Brasil,9/9/2021,5,5,3,311
276,Esquadrão na moral,Cineart Filmes,Brasil,12/9/2021,12,10,1,292
277,"Protocolo de Auschwitz, O",A2 Filmes,Alemanha,3/25/2021,0,0,4,291
278,Todos os mortos,Vitrine Filmes,Brasil,12/10/2020,7,5,35,287
279,Cine Marrocos,Bretz Filmes,Brasil,6/3/2021,7,7,5,285
280,Noites de alface,Pipa Produções,Brasil,6/24/2021,13,9,4,284
281,Rogue One - Uma história Star Wars,Disney,EUA,12/15/2016,1.396,615,233,284
282,Chico Ventana também queria ter um submarino,Vitrine Filmes,Brasil,7/8/2021,5,5,5,284
283,M8 - Quando a morte socorre a vida,DT/Paris,Brasil,12/3/2020,106,94,10,283
284,Como cães e gatos 3 - Peludos unidos,Warner,EUA,10/22/2020,309,265,17,278
285,Rodantes,Zeta Filmes,Brasil,7/29/2021,10,10,3,277
286,Nasce uma estrela,Warner,EUA,10/11/2018,553,334,156,270
287,"Nuvem rosa, A",O2 Play,Brasil,8/26/2021,7,6,1,270
288,Shazam!,Warner,EUA,4/4/2019,1.557,666,141,260
289,Bravos valentes,Plural Filmes,Brasil,9/30/2021,2,2,1,258
290,Algum lugar especial,A2 Filmes,Reino Unido,6/17/2021,6,6,5,255
291,Música para quando as luzes se apagam,Art House Movies,Brasil,7/22/2021,11,10,3,233
292,Coringa,Warner,EUA,10/3/2019,1.767,699,90,232
293,Minha mãe é uma peça - O filme,DT/Paris,Brasil,6/21/2013,416,331,437,229
294,Liberté,Zeta Filmes,França,3/12/2020,5,5,48,225
295,Libelu - Abaixo a ditadura,Boulevard Filmes,Brasil,5/13/2021,5,5,4,222
296,Madre,Imovision,Espanha,11/25/2021,6,6,5,222
297,Aquaman,Warner,EUA,12/13/2018,1.840,711,114,220
298,Eternos companheiros,A2 Filmes,China,8/19/2021,7,7,2,220
299,Casulo,Olhar Distribuição,Alemanha,12/9/2021,4,4,2,212
300,Sem ressentimentos,Olhar Distribuição,Alemanha,12/16/2021,4,4,2,211
301,Turma da Mônica - Laços,DT/Paris,Brasil,6/27/2019,743,496,127,209
302,"Animal amarelo, Um",Olhar Distribuição,Brasil,8/26/2021,9,9,3,208
303,"Barqueira, A",Zeta Filmes,Argentina,5/20/2021,7,6,9,206
304,Cravos,Elo Studios,Brasil,11/25/2021,11,11,3,200
305,"Cabana, A",Paris,EUA,4/6/2017,844,482,234,200
306,"Eu estava em casa, mas",Zeta Filmes,Alemanha,6/10/2021,4,4,3,187
307,Luta por justiça,Warner,EUA,2/20/2020,141,110,55,184
308,Mães de verdade,California,Japão,5/13/2021,3,3,3,183
309,Sanctorum,Zeta Filmes,México,10/21/2021,4,4,4,181
310,Valentina,Anagrama Filmes,Brasil,8/19/2021,13,12,1,178
311,Atravessa a vida,Copacabana,Brasil,1/14/2021,6,5,5,175
312,Helen,Elo Studios,Brasil,6/17/2021,10,9,2,172
313,Knives and skin,Zeta Filmes,EUA,7/8/2021,4,4,5,171
314,"Sentido da vida, O",DT/Paris,Brasil,9/23/2021,11,11,2,167
315,Madalena,Vitrine Filmes,Brasil,12/9/2021,4,4,2,162
316,Minha mãe é uma peça 3,DT/Paris,Brasil,12/26/2019,1.957,670,73,161
317,"Brinquedos mágicos, Os",Playarte,China,8/22/2019,295,258,122,161
318,Lamento,Moro Filmes,Brasil,8/26/2021,5,5,2,155
319,"Diabo branco, O",Pandora Filmes,Argentina,8/5/2021,3,3,5,155
320,Amigo Arrigo,Elo Studios,Brasil,11/4/2021,4,4,3,150
321,"Caso Collini, O",A2 Filmes,Alemanha,11/19/2020,14,14,16,150
322,"Direito de viver, O",A2 Filmes,EUA,10/7/2021,2,2,5,148
323,Rumo,Kinoscópio,Brasil,7/1/2021,8,7,4,146
324,"Fio invisível, O",O2 Play,Chile,10/7/2021,6,5,2,142
325,"Buscador, O",O2 Play,Brasil,7/29/2021,6,6,6,138
326,"Outra pele, A",Plural Filmes,Argentina,8/12/2021,1,1,1,135
327,Minhas férias com Patrick,California,França,5/6/2021,41,36,14,133
328,PéPequeno,Warner,EUA,9/27/2018,976,627,125,133
329,Toy Story 4,Disney,EUA,6/20/2019,1.753,687,115,133
