TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
Boleiros 2 - Vencedores e vencidos,Boleiros 2 - Vencedores e vencidos,Mais Filmes,4/7/2006,Brasil,Comédia,12,0,"28,95",5
Nelson Freire,Nelson Freire,Videofilmes,5/1/2003,Brasil,Documentário,,0,"654,49",37
"Demônio das onze horas, O",,Filmes do Estação,6/28/2002,França,,,0,"499,20",34
"Senhor dos anéis - A sociedade do anel, O",The Lord Of The Rings - The Fellowship Of The Ring,Warner,1/1/2002,EUA/ Nova Zelândia/ Reino Unido,,,0,"67.835,52",9.146
Harry Potter e a pedra filosofal,Harry Potter and the Philosopher's Stone,Warner,11/23/2001,EUA / Reino Unido,Aventura,Livre,0,"8.725.269,36",430.751
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"915.848.449,02",53.110.446
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Em nome do pai (1993),In the name of the father (1993),Distribuição Própria,8/5/2021,EUA,Drama,16,1,"265,17",14
Boleiros - Era uma vez o futebol (1998),Boleiros - Era uma vez o futebol,SP Filmes,7/29/2021,Brasil,Comédia - Dramática,Livre,1,"34,74",6
Festa (1989),Festa,Distribuição Própria,7/29/2021,Brasil,Comédia - Dramática,14,1,"87,06",14
Jogo duro (1985),Jogo duro,Distribuição Própria,7/29/2021,Brasil,Drama,14,1,"46,53",7
Paredes nuas (2009),Paredes nuas,Distribuição Própria,7/29/2021,Brasil,Drama,12,1,"29,16",4
Quebrando a cara (1980),Quebrando a cara,Embrafilme,7/29/2021,Brasil,Documentário,14,1,"23,37",3
"Domingo qualquer, Um (1999)",Any given sunday,Warner,7/22/2021,EUA,Drama,14,1,"11,00",1
"Garotos perdidos, Os (1987)",The lost boys,Warner,7/22/2021,EUA,Comédia - Terror,14,1,"187,00",14
Máquina mortífera (1987),Lethal weapon,Warner,7/22/2021,EUA,Aventura,16,1,"44,00",3
Superman - O filme (1978),Superman - The movie,Warner,7/22/2021,EUA,Aventura,Livre,1,"66,00",5
Superman II - A aventura continua (1980),Superman II - Special edition,Warner,7/22/2021,Inglaterra,Aventura,Livre,1,"55,00",4
Caminhos perigosos (1973),Mean Streets,Warner,7/1/2021,EUA,Drama,16,1,"286,00",19
"Outra história americana, A (1998)",American History X,Warner,7/1/2021,EUA,Drama,14,1,"363,00",28
Alice não mora mais aqui (1974),Alice Doesn't Live Here Anymore,Warner,6/24/2021,EUA,Drama,14,1,"88,00",6
Magnum 44 (1973),Magnum Force,Warner,6/24/2021,EUA,Ação - Policial,14,1,"44,00",3
"Mundo perfeito, Um (1993)",A Perfect World,Warner,6/24/2021,EUA,Drama,14,1,"22,00",2
Sonhos (1990),Yume,Warner,6/24/2021,Japão / EUA,Drama,Livre,1,"1.419,00",95
Depois de horas (1985),After Hours,Warner,8/20/2020,EUA,Comédia,16,0,"561,00",39
"Auto da compadecida, O (2000)","Auto da compadecida, O",Globo Filmes,6/26/2020,Brasil,Comédia,12,0,"6.269,50",536
"Goonies, Os (1985)",The Goonies,Warner,7/30/2020,EUA,Aventura,,0,"132,00",8
"Homem ideal?, O (2017)",M?esperarás?,Fênix Filmes,10/3/2019,Espanha,Comédia,12,0,"1.288,96",79
"Bela e a Fera, A (2017)",Beauty and the Beast,Disney,3/16/2017,EUA,Romance,,0,"420,76",42
"Rua chamada pecado, Uma (1951)",A Streetcar Named Desire,Warner,2/9/2017,EUA,Drama,12,0,"737,00",54
Bonnie e Clyde - Uma rajada de balas (1967),Bonnie and Clyde,Warner,11/8/2014,EUA,Biografia,14,0,"913,00",62
"Infiltrados, Os (2006)",The Departed,Warner,11/10/2006,EUA,Policial,18,0,"33,00",3
"Príncipe, O (2002)","Príncipe, O",Mais Filmes,8/9/2002,Brasil,Drama,14,0,"23,37",3
Maus hábitos (1983),Entre tinieblas,Pandora Filmes,2/12/1999,Espanha,Comédia - Dramática,16,0,"22,00",2
