,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
100,Cine Holliúdy 2 - A chibata sideral,Cine Holliúdy 2 - A chibata sideral,DTF/Paris,3/21/2019,Brasil,Comédia,12,121,"2.479.243,32",172.363
101,Downton Abbey,Downton Abbey,Universal,10/24/2019,Reino Unido,Drama,12,50,"2.469.095,33",107.924
102,Juntos para sempre,A dog's journey,Universal,6/6/2019,EUA,Drama,12,351,"2.449.027,00",168.046
103,Casal improvável,Long shot,Paris,6/20/2019,EUA,Comédia,16,262,"2.410.523,90",129.113
104,A odisseia dos tontos,La odisea de los giles,Warner,10/31/2019,Argentina/ Espanha,Comédia,12,95,"2.304.622,17",119.289
105,A maldição da freira,The devil's doorway,Playarte,2/28/2019,Reino Unido,Horror,14,189,"2.270.106,77",147.850
106,Midway - Batalha em alto mar,Midway,Diamond Films,11/21/2019,EUA,Ação,14,438,"2.262.044,99",138.399
107,Medo profundo - O segundo ataque,47 meters down - The next chapter,Paris,11/21/2019,Reino Unido,Terror,14,358,"2.115.758,63",153.431
108,Todos já sabem,Everybody knows,Paris,2/21/2019,Espanha/ França,Drama,12,64,"2.029.090,29",105.062
109,Hebe - A estrela do Brasil,Hebe - A estrela do Brasil,Warner,9/26/2019,Brasil,Biografia,14,398,"1.982.549,84",117.518
110,A vida invisível,A vida invisível,Sony / Vitrine Filmes,10/31/2019,Brasil,Drama,16,0,"1.971.685,26",112.770
111,Ted Bundy - A irresistível face do mal,Extremely wicked shockingly evil and vile,Paris,7/25/2019,EUA,Suspense,16,111,"1.919.232,62",95.470
112,O retorno de Mary Poppins,Mary Poppins returns,Disney,12/20/2018,EUA,Fantasia,Livre,675,"1.899.332,90",110.790
113,Uma nova chance,Second act,Diamond Films,1/31/2019,EUA,Comédia,12,236,"1.885.029,30",123.302
114,Minha fama de mau,Minha fama de mau,DTF/Paris,2/14/2019,Brasil,Biografia,12,212,"1.802.089,62",113.131
115,Duas rainhas,Mary - Queen of Scots,Universal,4/4/2019,EUA/ Reino Unido,Drama,16,61,"1.778.642,25",82.216
116,Atentado ao Hotel Taj Mahal,Hotel Mumbai,Imagem,7/11/2019,Austrália/Índia/EUA,Drama,16,110,"1.771.671,38",77.668
117,O manicômio,Heilstatten,Paris,1/3/2019,Alemanha,Terror,16,202,"1.711.996,11",108.937
118,Eu sou mais eu,Eu sou mais eu,Imagem,1/24/2019,Brasil,Comédia,12,537,"1.702.919,19",127.503
119,Anna - O perigo tem nome,Anna,Paris,8/29/2019,França,Ação,16,308,"1.700.367,48",100.101
120,As trapaceiras,The hustle,Universal,7/25/2019,EUA,Comédia,12,153,"1.581.720,36",91.415
121,Um amor inesperado,El amor menos pensado,Alpha Filmes/ Pandora,3/14/2019,Argentina,Comédia - Romântica,14,55,"1.573.574,44",86.413
122,O gênio e o louco,The professor and the madman,Imagem,4/18/2019,EUA,Drama,14,74,"1.499.799,23",66.887
123,UglyDolls,UglyDolls,Diamond Films,5/16/2019,EUA,Animação,Livre,426,"1.396.242,37",91.685
124,O reino gelado - A terra dos espelhos,Snezhnaya koroleva. Zazerkale,Galeria Distribuidora,11/21/2019,Russia,Animação,Livre,314,"1.364.728,56",108.056
125,Infiltrado na Klan,Blackkklansman,Universal,11/22/2018,EUA,Ação,14,51,"1.334.612,35",84.171
126,Chorar de rir,Chorar de rir,Warner,3/21/2019,Brasil,Comédia,12,239,"1.250.949,44",84.821
127,Simonal,Simonal,DTF/Paris,8/8/2019,Brasil,Biografia,14,93,"1.181.662,10",64.959
128,No portal da eternidade,At eternity's gate,Diamond Films,2/7/2019,Reino Unido/França/EUA,Drama,12,60,"1.166.636,29",62.345
129,Brightburn - Filho das trevas,Brightburn,Sony,5/23/2019,EUA,Horror,16,300,"1.161.344,62",78.379
130,O mal não espera a noite - Midsommar,Midsommar,Paris,9/19/2019,EUA,Terror,18,154,"1.134.790,80",65.630
131,Abigail e a cidade proibida,Abigail,Playarte,9/12/2019,Russia,Aventura,12,269,"997.272,38",67.629
132,Cats,Cats,Universal,12/26/2019,EUA,Comédia,Livre,216,"916.398,35",44.063
133,O amor dá trabalho,O amor dá trabalho,DTF/Paris,8/29/2019,Brasil,Comédia,12,111,"899.760,48",58.922
134,Assunto de família,Manbiki kazoku,Imovision,1/10/2019,Japão,Drama,14,30,"891.895,40",53.290
135,A tabacaria,Der trafikant,A2 Filmes,9/5/2019,Áustria/Alemanha,Drama,16,38,"886.332,88",50.324
136,Cafarnaum,Capharnaüm,Sony,1/17/2019,Libano,Drama,16,8,"880.637,74",55.159
137,A grande mentira,The good liar,Warner,11/21/2019,EUA,Drama,16,108,"852.876,92",40.180
138,Suprema,On the basis of sex,Diamond Films,3/14/2019,EUA,Drama,12,67,"842.054,98",42.195
139,Depois do casamento,After the wedding,Diamond Films,9/19/2019,EUA,Drama,12,124,"818.576,00",35.977
140,Guerra Fria,Cold War,California,2/7/2019,França/ Polônia,Drama,10,59,"743.879,63",45.869
141,Os brinquedos mágicos,Tea Pets,Playarte,8/22/2019,China,Animação,Livre,295,"717.140,18",49.524
142,O tradutor,El tradutor,Galeria Distribuidora,4/4/2019,Cuba/Canadá,Drama,10,62,"693.836,12",39.972
143,Obsessão,Greta,Galeria Distribuidora,6/13/2019,EUA,Suspense,14,124,"673.098,05",38.393
144,A espiã vermelha,Red Joan,California,5/16/2019,Reino Unido,Biografia,14,36,"658.299,17",34.373
