,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2022 (R$), Público 2022,Salas Abertura,Estreia, renda (R$),público
Homens à beira de um ataque de nervos,Hommes au bord de la crise de nerfs,Synapse,57.912,3.034,25,10/13/2022,57.912,3.034
"Ilha de Bergman, A",Bergman Island,Pandora Filmes,57.866,4.002,23,2/24/2022,57.866,4.002
"Croods 2 - Uma nova era, Os",Croods 2,Universal,56.862,7.041,1.151,7/1/2021,13.251.412,867.353
"Santo de todos - A vida e missão de Santo Antônio Maria Claret, O",Claret,Kolbe Arte Produções,56.631,3.554,55,10/6/2022,56.631,3.554
"Primeiros soldados, Os","Primeiros soldados, Os",Olhar Distribuição,55.303,3.958,7,7/7/2022,55.303,3.958
"Traidor, O",Il Traditore,Pandora Filmes,55.116,3.077,25,4/14/2022,55.116,3.077
Kobra auto-retrato,Kobra auto-retrato,Imovision,53.867,4.078,23,11/17/2022,53.867,4.078
Duetto,Duetto,Imagem,53.509,2.713,113,9/29/2022,53.509,2.713
"Homem ideal, O",I'm your man,Diamond/Galeria,53.312,2.645,6,12/23/2021,78.396,3.959
Paloma,Paloma,Pandora Filmes,52.520,3.462,20,11/10/2022,52.520,3.462
Está tudo bem,Tout s'est bien passé,California,51.224,2.740,24,6/2/2022,51.224,2.740
Duna,Dune,Warner,47.332,2.331,1.063,10/21/2021,16.712.679,848.216
Além da lenda - O filme,Além da lenda - O filme,Boulevard Filmes,45.815,3.262,16,8/4/2022,45.815,3.262
Kompromat - O dossiê russo,Kompromat,Mares Filmes/Polifilmes,45.327,2.117,26,9/29/2022,45.327,2.117
Ela e eu,Ela e eu,Disney,45.277,2.260,11,7/21/2022,45.277,2.260
Onoda - 10 mil noites na selva,Onoda - 10.000 nights in the jungle,Imovision,44.332,2.108,19,8/25/2022,44.332,2.108
Clarice Lispector - A descoberta do mundo,Clarice Lispector - A descoberta do mundo,Anagrama Filmes,43.615,2.584,11,12/8/2022,43.615,2.584
Mentes extraordinárias,Presque,California,43.603,2.274,11,5/19/2022,43.603,2.274
Aline - A voz do amor,Aline,Imovision,41.847,2.299,19,6/16/2022,41.847,2.299
"Próximo passo, O",En corps,Bonfilm,41.621,2.861,19,9/8/2022,41.621,2.861
Incompatível,Incompatível,Disney,41.013,1.977,31,4/28/2022,41.013,1.977
Abestalhados 2,Abestalhados 2,Disney,40.538,2.008,69,10/27/2022,40.538,2.008
"Perdão, O",Ballad of a white cow,Imovision,38.973,1.992,7,9/22/2022,38.973,1.992
"Eu, Christiane F., 13 anos, drogada e prostituída - Edição 40 anos",Christiane F. - Wir kinder vom bahnhof zoo,A2 Filmes,38.894,2.047,6,7/28/2022,38.894,2.047
Delicioso - Da cozinha para o mundo,Délicieux,Playarte,38.504,1.965,19,2/10/2022,38.504,1.965
"Mulher de um espião, A",Wife of a spy,Zeta Filmes,37.760,2.419,11,3/31/2022,37.760,2.419
Eu não choro,I never cry,Arteplex Filmes,36.115,2.186,15,1/20/2022,36.115,2.186
"Paris, 13º distrito",Les Olympiades,California,36.059,2.452,12,4/28/2022,36.059,2.452
Miss França,Miss,Pandora Filmes,35.954,2.092,14,5/19/2022,35.954,2.092
"Senhor dos anéis - As duas torres, O",The Lord Of The Rings - The Two Towers,Warner,35.754,3.720,nd,relanç.,nd,nd
"Amores dela, Os",Les amours d'Anaïs,Imovision,35.590,2.001,7,7/21/2022,35.590,2.001
Amor de redenção,Redeeming love,Cinecolor,34.750,1.737,36,6/9/2022,34.750,1.737
Clara Sola,Clara Sola,Imovision,34.679,1.972,10,8/11/2022,34.679,1.972
Encontros,Introduction,Pandora Filmes,34.557,2.641,8,9/1/2022,34.557,2.641
"Chef, O",Boiling point,Synapse,34.025,1.635,6,9/1/2022,34.025,1.635
Contratempos,À plein temps,Bonfilm,33.422,1.889,10,11/10/2022,33.422,1.889
"Pacto, O",Pact,A2 Filmes,33.267,1.772,19,4/7/2022,33.267,1.772
De volta à Borgonha,Ce qui nous lie,Bretz Filmes,32.673,1.885,7,8/18/2022,32.673,1.885
Pequena mamãe,Petite maman,Diamond/Galeria,32.464,1.987,6,3/3/2022,32.464,1.987
Assalto na Paulista,Assalto na Paulista,O2 Play/Kinoscopio,31.908,1.614,21,8/25/2022,31.908,1.614
Il buco,Il buco,Zeta Filmes,31.784,1.859,12,8/11/2022,31.784,1.859
"Verdades, As","Verdades, As",Gullane Distribuidora,31.627,1.700,14,6/30/2022,31.627,1.700
Terror no estúdio 666,Studio 666,Sony,31.372,1.326,17,3/17/2022,31.372,1.326
Peter Von Kant,Peter Von Kant,Bonfilm,31.041,1.924,18,10/20/2022,31.041,1.924
"Segredo de Madeleine Collins, O",Madeleine Collins,Synapse,30.293,1.673,17,9/22/2022,30.293,1.673
Segredos em família,Algunas bestias,Imovision,29.000,1.586,8,10/13/2022,29.000,1.586
"Mulher que fugiu, A",The woman who ran,Pandora Filmes,27.620,1.757,16,2/10/2022,27.620,1.757
Serial Kelly,Serial Kelly,Vitrine Filmes,27.389,2.198,25,11/24/2022,27.389,2.198
Madrugada em Paris,Médecin de nuit,Bonfilm,27.297,1.659,22,3/24/2022,27.297,1.659
"Felicidade das coisas, A","Felicidade das coisas, A",Embaúba Filmes,27.188,1.854,11,5/19/2022,27.188,1.854
