,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2019 (R$), Público 2019,Salas Abertura,Estreia, renda (R$),público
BTS - Love Yourself Tour In Seoul,BTS - Love Yourself Tour In Seoul,Cinemark,1.508.331,64.485,818,1/26/2019,1.508.331,64.485
O gênio e o louco,The professor and the madman,Imagem,1.499.799,66.887,74,4/18/2019,1.499.799,66.887
Roberto Carlos em Jerusalém,Roberto Carlos em Jerusalém,H2O Films,1.397.147,72.577,172,12/2/2019,1.397.147,72.577
UglyDolls,UglyDolls,Diamond Films,1.396.242,91.685,426,5/16/2019,1.396.242,91.685
O reino gelado - A terra dos espelhos,Snezhnaya koroleva. Zazerkale,Galeria Distribuidora,1.364.729,108.056,314,11/21/2019,1.364.729,108.056
Infiltrado na Klan,Blackkklansman,Universal,1.334.612,84.171,51,11/22/2018,3.931.253,214.959
Chorar de rir,Chorar de rir,Warner,1.250.949,84.821,239,3/21/2019,1.250.949,84.821
Simonal,Simonal,DTF/Paris,1.181.662,64.959,93,8/8/2019,1.181.662,64.959
No portal da eternidade,At eternity's gate,Diamond Films,1.166.636,62.345,60,2/7/2019,1.166.636,62.345
Brightburn - Filho das trevas,Brightburn,Sony,1.161.345,78.379,300,5/23/2019,1.161.345,78.379
O mal não espera a noite - Midsommar,Midsommar,Paris,1.134.791,65.630,154,9/19/2019,1.134.791,65.630
Abigail e a cidade proibida,Abigail,Playarte,997.272,67.629,269,9/12/2019,997.272,67.629
Cats,Cats,Universal,916.398,44.063,216,12/26/2019,916.398,44.063
O amor dá trabalho,"Amor dá trabalho, O",DTF/Paris,899.760,58.922,111,8/29/2019,899.760,58.922
Assunto de família,Manbiki kazoku,Imovision,891.895,53.290,30,1/10/2019,891.895,53.290
A tabacaria,Der trafikant,A2 Filmes,886.333,50.324,38,9/5/2019,886.333,50.324
Cafarnaum,Capharnaüm,Sony,880.638,55.159,8,1/17/2019,880.638,55.159
A grande mentira,The good liar,Warner,852.877,40.180,108,11/21/2019,852.877,40.180
Suprema,On the basis of sex,Diamond Films,842.055,42.195,67,3/14/2019,842.055,42.195
Depois do casamento,After the wedding,Diamond Films,818.576,35.977,124,9/19/2019,818.576,35.977
Guerra Fria,Cold War,California,743.880,45.869,59,2/7/2019,743.880,45.869
Os brinquedos mágicos,Tea Pets,Playarte,717.140,49.524,295,8/22/2019,717.140,49.524
O tradutor,El tradutor,Galeria Distribuidora,693.836,39.972,62,4/4/2019,693.836,39.972
Obsessão,Greta,Galeria Distribuidora,673.098,38.393,124,6/13/2019,673.098,38.393
A espiã vermelha,Red Joan,California,658.299,34.373,36,5/16/2019,658.299,34.373
Maria do Caritó,Maria do Caritó,Imagem,637.695,40.852,226,10/31/2019,637.695,40.852
"Cadê você, Bernadette?","Where'd you go, Bernadette?",Imagem,617.011,27.996,90,11/7/2019,617.011,27.996
Rainhas do crime,The kitchen,Warner,605.847,28.500,79,8/8/2019,605.847,28.500
Cópias - De volta a vida,Replicas,Paris,597.976,35.441,119,4/18/2019,597.976,35.441
A menina e o leão,Mia and the while lion,Paris,572.452,34.875,119,5/9/2019,572.452,34.875
Gloria Bell,Gloria Bell,Sony,565.793,30.679,13,3/28/2019,565.793,30.679
Ma,Ma,Universal,554.368,35.927,116,5/30/2019,554.368,35.927
Culpa,The guilty,California,534.662,31.508,35,12/27/2018,720.086,41.216
O anjo,El ángel,Pagu Pictures,523.285,28.150,32,4/18/2019,523.285,28.150
O retorno de Ben,Ben is back,Diamond Films,500.147,25.505,83,3/21/2019,500.147,25.505
Nasce uma estrela,A star is born,Warner,497.606,28.716,553,10/11/2018,25.809.444,1.434.297
Border,Gräns,Arteplex Filmes,493.098,27.244,15,4/11/2019,493.098,27.244
Um banho de vida,Le grand bain,Pagu Pictures,491.909,27.613,32,3/21/2019,491.909,27.613
Calmaria,Serenity,Diamond Films,477.720,24.024,55,2/28/2019,477.720,24.024
O confeiteiro,The cakemaker,Imovision,450.400,27.113,17,12/27/2018,563.594,33.474
Muleque té doido 3: Mais doido ainda!,Muleque té doido 3: Mais doido ainda!,Distribuição Própria,446.975,32.649,18,1/24/2019,446.975,32.649
Amigos para sempre,The upside,California,438.000,19.022,59,1/17/2019,438.000,19.022
Morto não fala,Morto não fala,Pagu Pictures,428.318,27.696,79,10/10/2019,428.318,27.696
Jornada da vida,Yao,California,422.091,24.280,8,7/18/2019,422.091,24.280
Aventura em miniatura,The big shrink,Lança Filmes,420.660,32.154,62,11/28/2019,420.660,32.154
Un homem fiel,L'homme fidèle,Supo Mungam Films,410.146,25.986,39,7/4/2019,410.146,25.986
A grande dama do cinema,El cuento de las comadrejas,Fênix Filmes,409.635,23.595,22,5/16/2019,409.635,23.595
Friends - Festival 25 anos,Friends 25th The One With The Anniversary,Warner,407.968,30.793,301,10/14/2019,407.968,30.793
Quem você pensa que sou,Celle que vous croyez,California,406.902,24.247,29,9/12/2019,406.902,24.247
A batalha das correntes,The current war,Diamond Films,404.704,18.609,78,12/19/2019,404.704,18.609
Encontros,Deux moi,Imovision,404.560,22.050,12,10/3/2019,404.560,22.050
My Hero Academia: 2 Heróis - O Filme,My Hero Academia The Movie: Futari no Hero,Sato Company,403.687,23.176,105,8/8/2019,403.687,23.176
