,,,,,,,ACUMULADO,
O caminho dos sonhos,Der traumhafte weg,Zeta Filmes,  7.507 ,  529 ,1,14/6/18,  7.507 ,  529 
Santoro - O homem e sua música,Santoro - O homem e sua música,Dada 'n Zen,  7.385 ,  480 ,9,8/3/18,  7.385 ,  480 
O corpo em terapia,O corpo em terapia,Distribuição Própria,  7.342 ,  439 ,1,23/8/18,  7.342 ,  439 
Vende-se esta moto,Vende-se esta moto,Cavideo,  7.197 ,  500 ,2,6/9/18,  7.197 ,  500 
Em nome da América,Em nome da América,Inquieta,  6.534 ,  729 ,3,5/4/18,  6.534 ,  729 
O silêncio da noite é que tem sido testemunha das minhas amarguras,"Silêncio da noite é que tem sido testemunha das minhas amarguras, O",Inquieta,  6.372 ,  653 ,2,15/3/18,  6.372 ,  653 
Os incontestáveis,Os incontestáveis,Livres Filmes,  6.090 ,  552 ,8,9/8/18,  6.090 ,  552 
Los territorios,Los territorios,Vitrine,  6.044 ,  445 ,4,7/6/18,  6.044 ,  445 
Amanhã chegou,Amanhã chegou,Elo Company,  5.975 ,  695 ,16,11/10/18,  5.975 ,  695 
Fica mais escuro antes do amanhecer,Fica mais escuro antes do amanhecer,02 Play,  5.876 ,  460 ,9,30/8/18,  5.876 ,  460 
Cartas para um ladrão de livros,Cartas para um ladrão de livros,Boutique Filmes,  5.836 ,  364 ,4,1/3/18,  5.836 ,  364 
O fantástico patinho feio,O fantástico patinho feio,Elo Company,  5.728 ,  598 ,14,22/11/18,  5.728 ,  598 
Vox Lux,Vox Lux,Paris,  5.642 ,  524 ,0,7/12/18,  5.642 ,  524 
Marcha cega,Marcha cega,Elo Company,  5.382 ,  739 ,10,27/9/18,  5.382 ,  739 
Paulistas,Paulistas,Vitrine,  5.187 ,  724 ,5,22/2/18,  5.187 ,  724 
Camocim,Camocim,Vitrine,  5.128 ,  691 ,12,13/9/18,  5.128 ,  691 
Professor Marston e as Mulheres-Maravilhas,Professor Marston & the Wonder-Women,Sony,  4.996 ,  305 ,12,14/12/17,  76.123 ,  4.517 
Estrada de sonhos,Estrada de sonhos,Com Domínio Filmes,  4.973 ,  357 ,1,5/7/18,  4.973 ,  357 
Moacir - O santista que conquistou os argentinos,Moacir - O santista que conquistou os argentinos,Miração Filmes,  4.778 ,  517 ,2,8/11/18,  4.778 ,  517 
Torre. Um dia brilhante,Wieza. Jasny dzien,Zeta Filmes,  4.268 ,  264 ,1,15/11/18,  4.268 ,  264 
Meu tio e o Joelho de Porco,Meu tio e o Joelho de Porco,Elo Company,  4.113 ,  499 ,12,30/8/18,  4.113 ,  499 
Salto no vazio,Salto no vazio,Cavideo,  4.103 ,  252 ,1,20/9/18,  4.103 ,  252 
Coragem! - As muitas vidas de Dom Paulo Evaristo Arns,Coragem! - As muitas vidas de Dom Paulo Evaristo Arns,Espaço Itaú de Cinema,  4.073 ,  331 ,9,14/12/17,  18.003 ,  1.200 
Górgona,Górgona,Espaço Filmes,  4.046 ,  211 ,3,29/3/18,  4.046 ,  211 
Rio Mumbai,Rio Mumbai,Copa Filmes,  3.850 ,  282 ,3,24/5/18,  3.850 ,  282 
Antes do fim,Antes do fim,Bela Filmes,  3.795 ,  284 ,0,15/2/18,  3.795 ,  284 
Como você me vê?,Como você me vê?,Livres Filmes,  3.295 ,  258 ,1,18/1/18,  3.295 ,  258 
Para ter onde ir,Para ter onde ir,02 Play,  3.282 ,  335 ,4,10/5/18,  3.282 ,  335 
Literalmente especiais,Literalmente especiais,Distribuição Própria,  3.033 ,  294 ,1,11/1/18,  3.033 ,  294 
O pacto de Adriana,El pacto de Adriana,FJ Cines,  2.986 ,  210 ,0,11/1/18,  2.986 ,  210 
Verão em Rildas,Verão em Rildas,Cavideo,  2.927 ,  213 ,2,4/10/18,  2.927 ,  213 
Carvana - Como se faz um malandro,Carvana - Como se faz um malandro,Esfera,  2.865 ,  244 ,4,15/11/18,  2.865 ,  244 
Memórias de uma escola,Memórias de uma escola,Distribuição Própria,  2.834 ,  273 ,1,11/1/18,  2.834 ,  273 
Como fotografei os Yanomami,Como fotografei os Yanomami,Descoloniza Filmes,  2.748 ,  155 ,1,9/8/18,  2.748 ,  155 
Brusque 92,Brusque 92,Distribuição Própria,  2.724 ,  211 ,2,11/10/18,  2.724 ,  211 
Sailing band,Sailing band,DTF/Paris,  2.609 ,  130 ,1,11/1/18,  2.609 ,  130 
O parque,Le parc,Zeta Filmes,  2.280 ,  227 ,2,3/5/18,  2.280 ,  227 
Safári,Safári,Pandora,  2.239 ,  146 ,3,14/6/18,  2.239 ,  146 
Dê lembranças a todos - Dorival Caymmi,Dê lembranças a todos - Dorival Caymmi,Maff Distribuidora,  1.845 ,  149 ,0,22/11/18,  1.845 ,  149 
Tudo é projeto,Tudo é projeto,Olé Produções,  1.831 ,  114 ,3,14/12/17,  9.435 ,  580 
"Tudo é irrelevante, Hélio Jaguaribe","Tudo é irrelevante, Hélio Jaguaribe",Art House Movies,  1.675 ,  102 ,3,16/8/18,  1.675 ,  102 
Pra ficar na história    ,Pra ficar na história    ,Pipoca & Filmes / Forte Filmes,  1.201 ,  146 ,1,8/3/18,  1.201 ,  146 
Ataque dos titãs - fim do mundo,Attack on titans,SATO Company,  1.200 ,  70 ,3,13/5/18,  1.200 ,  70 
Roma,Roma,ND,  -   ,  3.150 ,2,14/12/18,  -   ,  3.150 
Cartoon apresenta: turma da monica,Cartoon apresenta: turma da monica,Distribuição Própria, nd, nd,nd,8/11/18, nd,nd
Rei,Rey,Descoloniza Filmes, nd, nd,nd,21/6/18, nd,nd
M,M,Distribuição Própria, nd, nd,nd,6/12/18, nd,nd
Em guerra por amor,In guerra per amore,Espaço Filmes, nd, nd,nd,31/5/18, nd,nd
Estradeiros,Estradeiros,Boulevard Filmes, nd, nd,nd,9/8/18, nd,nd
Minas do futebol ,Minas do futebol ,DTF/Paris, nd, nd,nd,13/12/18, nd,nd
Super Orquestra Arcoverdense de Ritmos... ,Super Orquestra Arcoverdense de Ritmos... ,Inquieta, nd, nd,nd,15/11/18, nd,nd
A tecnologia social ,A tecnologia social ,Docdoma Filmes, nd, nd,nd,8/11/18, nd,nd
Guarnieri,Guarnieri,Mira Filmes, nd, nd,nd,26/4/18, nd,nd
Surf no Alemão,Surf no Alemão,Cavídeo, nd, nd,nd,22/3/18, nd,nd
Rio do medo,Rio do medo,Dist. Própria, nd, nd,nd,15/3/18, nd,nd
Os caubóis do apocalipse,Os caubóis do apocalipse,Pietá Filmes, nd, nd,nd,10/3/18, nd,nd
