TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
Roda do destino,Wheel of fortune and fantasy,Pandora Filmes,1/6/2022,Japão,Drama,14,16,77.522,4.501
"Clube dos anjos, O","Clube dos anjos, O",Vitrine Filmes,11/3/2022,Brasil,Drama,16,31,75.464,4.499
Lola e seus irmãos,Lola et ses frères,Pandora Filmes,7/7/2022,França,Comédia - Dramática,12,21,71.220,3.690
"Crônica francesa, A",The french dispatch,Disney,11/18/2021,EUA,Comédia,14,0,70.663,3.434
Pinóquio,Pinocchio,O2 Play,11/24/2022,EUA / França / México,Animação,12,21,69.961,3.673
Sistema bruto,Sistema bruto,Do2,9/29/2022,Brasil,Ação,12,126,67.756,3.871
"Fratura, A",La fracture,Imovision,5/5/2022,França,Comédia,12,14,67.318,3.575
Entre rosas,La fine fleur,California,9/1/2022,França,Comédia,12,29,65.770,2.821
Amantes,Amants,Pandora Filmes,9/15/2022,França,Drama,16,32,62.136,4.625
1982,1982,Estúdio Escarlate,6/2/2022,Libano,Drama,12,20,62.112,3.374
Marighella,Marighella,DT/Paris,11/4/2021,Brasil,Biografia,16,0,61.090,3.152
Homens à beira de um ataque de nervos,Hommes au bord de la crise de nerfs,Synapse,10/13/2022,França / Bélgica,Comédia,14,25,57.912,3.034
"Ilha de Bergman, A",Bergman Island,Pandora Filmes,2/24/2022,França / Alemanha / Bélgica,Drama,14,23,57.866,4.002
"Croods 2 - Uma nova era, Os",Croods 2,Universal,7/1/2021,EUA,Animação,Livre,0,56.862,7.041
"Santo de todos - A vida e missão de Santo Antônio Maria Claret, O",Claret,Kolbe Arte Produções,10/6/2022,Espanha,Biografia,14,55,56.631,3.554
"Primeiros soldados, Os","Primeiros soldados, Os",Olhar Distribuição,7/7/2022,Brasil,Drama,14,7,55.303,3.958
"Traidor, O",Il Traditore,Pandora Filmes,4/14/2022,Itália / Brasil / Alemanha / França,Drama,16,25,55.116,3.077
Kobra auto-retrato,Kobra auto-retrato,Imovision,11/17/2022,Brasil,Documentário,10,23,53.867,4.078
Duetto,Duetto,Imagem,9/29/2022,Brasil,Drama,14,113,53.509,2.713
"Homem ideal, O",I'm your man,Diamond/Galeria,12/23/2021,Alemanha,Comédia,14,0,53.312,2.645
Paloma,Paloma,Pandora Filmes,11/10/2022,Brasil,Drama,16,20,52.520,3.462
